"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SAP_0_F","School age population, early childhood education, female (number)","PNG","Papua New Guinea","2010","2010",91980,,
"SAP_0_F","School age population, early childhood education, female (number)","VGB","British Virgin Islands","2010","2010",884,,
"SAP_0_F","School age population, early childhood education, female (number)","LAO","Lao People's Democratic Republic","2010","2010",456281,,
"SAP_0_F","School age population, early childhood education, female (number)","SYC","Seychelles","2010","2010",1341,,
"SAP_0_F","School age population, early childhood education, female (number)","COK","Cook Islands","2010","2010",347,,
"SAP_0_M","School age population, early childhood education, male (number)","40334","Least Developed Countries","2010","2010",36052315,,
"SAP_0_F","School age population, early childhood education, female (number)","WSM","Samoa","2010","2010",4803,,
"SAP_0_F","School age population, early childhood education, female (number)","40603","Africa (Northern)","2010","2010",3987688,,
"SAP_0_F","School age population, early childhood education, female (number)","CZE","Czechia","2010","2010",150678,,
"SAP_0_M","School age population, early childhood education, male (number)","BTN","Bhutan","2010","2010",13899,,
"SAP_0_F","School age population, early childhood education, female (number)","GNQ","Equatorial Guinea","2010","2010",36930,,
"SAP_0_M","School age population, early childhood education, male (number)","GMB","Gambia","2010","2010",143688,,
"SAP_0_F","School age population, early childhood education, female (number)","40030","Middle income countries","2010","2010",157080688.5,,
"SAP_0_F","School age population, early childhood education, female (number)","LIE","Liechtenstein","2010","2010",349,"+","National Estimation"
"SAP_0_F","School age population, early childhood education, female (number)","BGD","Bangladesh","2010","2010",4605803,,
"SAP_0_M","School age population, early childhood education, male (number)","40525","Arab States","2010","2010",8784666,,
"SAP_0_M","School age population, early childhood education, male (number)","DOM","Dominican Republic","2010","2010",303317,"+","National Estimation"
"SAP_0_M","School age population, early childhood education, male (number)","40617","Western Asia and Northern Africa","2010","2010",12479685,,
"SAP_0_F","School age population, early childhood education, female (number)","LUX","Luxembourg","2010","2010",8340,,
"SAP_0_M","School age population, early childhood education, male (number)","BRN","Brunei Darussalam","2010","2010",9939,,
"SAP_0_F","School age population, early childhood education, female (number)","COL","Colombia","2010","2010",1180228,,
"SAP_0_M","School age population, early childhood education, male (number)","LTU","Lithuania","2010","2010",87724,"+","National Estimation"
"SAP_0_F","School age population, early childhood education, female (number)","FJI","Fiji","2010","2010",24724,,
"SAP_0_M","School age population, early childhood education, male (number)","40043","Upper middle income countries","2010","2010",75869980,,
"SAP_0_F","School age population, early childhood education, female (number)","40612","Asia (Central)","2010","2010",2229153,,
"SAP_0_F","School age population, early childhood education, female (number)","40520","Latin America and the Caribbean","2010","2010",21004080,,
"SAP_0_F","School age population, early childhood education, female (number)","MMR","Myanmar","2010","2010",2499379,,
"SAP_0_F","School age population, early childhood education, female (number)","BMU","Bermuda","2010","2010",350,,
"SAP_0_M","School age population, early childhood education, male (number)","IND","India","2010","2010",40793269,,
"SAP_0_M","School age population, early childhood education, male (number)","CUB","Cuba","2010","2010",381134,,
"SAP_0_F","School age population, early childhood education, female (number)","TLS","Timor-Leste","2010","2010",32779,,
"SAP_0_F","School age population, early childhood education, female (number)","GIN","Guinea","2010","2010",821944,,
"SAP_0_F","School age population, early childhood education, female (number)","MNE","Montenegro","2010","2010",22688,,
"SAP_0_M","School age population, early childhood education, male (number)","AUS","Australia","2010","2010",590495,,
"SAP_0_F","School age population, early childhood education, female (number)","FRA","France","2010","2010",1176858,"+","National Estimation"
"SAP_0_M","School age population, early childhood education, male (number)","BLZ","Belize","2010","2010",7854,,
"SAP_0_M","School age population, early childhood education, male (number)","COM","Comoros","2010","2010",30144,,
"SAP_0_F","School age population, early childhood education, female (number)","UGA","Uganda","2010","2010",1736364,,
"SAP_0_F","School age population, early childhood education, female (number)","SVN","Slovenia","2010","2010",46691,,
"SAP_0_F","School age population, early childhood education, female (number)","AFG","Afghanistan","2010","2010",474553,,
"SAP_0_M","School age population, early childhood education, male (number)","IRQ","Iraq","2010","2010",873711,,
"SAP_0_F","School age population, early childhood education, female (number)","PHL","Philippines","2010","2010",1045842,,
"SAP_0_M","School age population, early childhood education, male (number)","MLI","Mali","2010","2010",1027080,,
"SAP_0_M","School age population, early childhood education, male (number)","KNA","Saint Kitts and Nevis","2010","2010",1434,,
"SAP_0_F","School age population, early childhood education, female (number)","PAK","Pakistan","2010","2010",9022435,,
"SAP_0_F","School age population, early childhood education, female (number)","ITA","Italy","2010","2010",819205,,
"SAP_0_M","School age population, early childhood education, male (number)","BWA","Botswana","2010","2010",74317,,
"SAP_0_M","School age population, early childhood education, male (number)","40330","Landlocked Developing Countries","2010","2010",17802439.75,,
"SAP_0_F","School age population, early childhood education, female (number)","MDG","Madagascar","2010","2010",955545,,
"SAP_0_F","School age population, early childhood education, female (number)","LSO","Lesotho","2010","2010",71592,,
"SAP_0_F","School age population, early childhood education, female (number)","AIA","Anguilla","2010","2010",200,,
"SAP_0_M","School age population, early childhood education, male (number)","40613","Asia (South-eastern)","2010","2010",24308047,,
"SAP_0_F","School age population, early childhood education, female (number)","ECU","Ecuador","2010","2010",454487,,
"SAP_0_M","School age population, early childhood education, male (number)","BDI","Burundi","2010","2010",258720,,
"SAP_0_F","School age population, early childhood education, female (number)","ZMB","Zambia","2010","2010",925545,,
"SAP_0_M","School age population, early childhood education, male (number)","LBR","Liberia","2010","2010",181834,,
"SAP_0_F","School age population, early childhood education, female (number)","TJK","Tajikistan","2010","2010",328974,,
"SAP_0_F","School age population, early childhood education, female (number)","IRN","Iran (Islamic Republic of)","2010","2010",565147,,
"SAP_0_F","School age population, early childhood education, female (number)","ETH","Ethiopia","2010","2010",3999908,,
"SAP_0_M","School age population, early childhood education, male (number)","LKA","Sri Lanka","2010","2010",360177,,
"SAP_0_F","School age population, early childhood education, female (number)","40535","South and West Asia","2010","2010",52155929,,
"SAP_0_F","School age population, early childhood education, female (number)","GAB","Gabon","2010","2010",61441,,
"SAP_0_F","School age population, early childhood education, female (number)","TON","Tonga","2010","2010",2610,,
"SAP_0_M","School age population, early childhood education, male (number)","40044","Low income countries","2010","2010",24133196,,
"SAP_0_F","School age population, early childhood education, female (number)","ZAF","South Africa","2010","2010",3714094,,
"SAP_0_M","School age population, early childhood education, male (number)","COD","Democratic Republic of the Congo","2010","2010",3231340,,
"SAP_0_F","School age population, early childhood education, female (number)","NPL","Nepal","2010","2010",605900,,
"SAP_0_F","School age population, early childhood education, female (number)","MSR","Montserrat","2010","2010",72,,
"SAP_0_M","School age population, early childhood education, male (number)","KEN","Kenya","2010","2010",1977983,,
"SAP_0_M","School age population, early childhood education, male (number)","CRI","Costa Rica","2010","2010",217203,,
"SAP_0_F","School age population, early childhood education, female (number)","PRK","Democratic People's Republic of Korea","2010","2010",727543,,
"SAP_0_M","School age population, early childhood education, male (number)","COG","Congo","2010","2010",190944,,
"SAP_0_F","School age population, early childhood education, female (number)","KWT","Kuwait","2010","2010",42734,,
"SAP_0_F","School age population, early childhood education, female (number)","PLW","Palau","2010","2010",404,,
"SAP_0_F","School age population, early childhood education, female (number)","TTO","Trinidad and Tobago","2010","2010",18633,,
"SAP_0_F","School age population, early childhood education, female (number)","SEN","Senegal","2010","2010",570014,,
"SAP_0_F","School age population, early childhood education, female (number)","EGY","Egypt","2010","2010",1723764,,
"SAP_0_M","School age population, early childhood education, male (number)","FSM","Micronesia (Federated States of)","2010","2010",3676,,
"SAP_0_M","School age population, early childhood education, male (number)","40618","Asia (Central and Southern)","2010","2010",59820093,,
"SAP_0_F","School age population, early childhood education, female (number)","ARM","Armenia","2010","2010",67628,,
"SAP_0_M","School age population, early childhood education, male (number)","BHR","Bahrain","2010","2010",45114,,
"SAP_0_M","School age population, early childhood education, male (number)","CHE","Switzerland","2010","2010",76555,,
"SAP_0_M","School age population, early childhood education, male (number)","40630","Latin America and the Caribbean","2010","2010",21885876,,
"SAP_0_F","School age population, early childhood education, female (number)","LBR","Liberia","2010","2010",174872,,
"SAP_0_M","School age population, early childhood education, male (number)","BEN","Benin","2010","2010",283311,,
"SAP_0_M","School age population, early childhood education, male (number)","IRL","Ireland","2010","2010",31885,"+","National Estimation"
"SAP_0_F","School age population, early childhood education, female (number)","NIC","Nicaragua","2010","2010",389174,,
"SAP_0_F","School age population, early childhood education, female (number)","ZWE","Zimbabwe","2010","2010",360946,,
"SAP_0_M","School age population, early childhood education, male (number)","LBY","Libya","2010","2010",120482,,
"SAP_0_F","School age population, early childhood education, female (number)","TZA","United Republic of Tanzania","2010","2010",1382727,,
"SAP_0_F","School age population, early childhood education, female (number)","PRT","Portugal","2010","2010",152547,,
"SAP_0_F","School age population, early childhood education, female (number)","40515","East Asia and the Pacific","2010","2010",50915635,,
"SAP_0_M","School age population, early childhood education, male (number)","CPV","Cabo Verde","2010","2010",15898,,
